Policy_Scenario,LCP_scenario,Sector_market,year,value,unit
Low-Bioenergy,No-LCP,BECCS,2025,60.801709497205884,2010$ per tCO2
Low-Bioenergy,No-LCP,BECCS,2030,87.3211515656609,2010$ per tCO2
Low-Bioenergy,No-LCP,BECCS,2035,107.41669200376307,2010$ per tCO2
Low-Bioenergy,No-LCP,BECCS,2040,108.74522915374455,2010$ per tCO2
Low-Bioenergy,No-LCP,BECCS,2045,107.23424032569916,2010$ per tCO2
Low-Bioenergy,No-LCP,BECCS,2050,113.66829050816682,2010$ per tCO2
Low-Bioenergy,No-LCP,BECCS,2055,131.3863448580131,2010$ per tCO2
Low-Bioenergy,No-LCP,BECCS,2060,155.84499719036134,2010$ per tCO2
Low-Bioenergy,No-LCP,BECCS,2065,176.12397309237232,2010$ per tCO2
Low-Bioenergy,No-LCP,BECCS,2070,196.2532680888924,2010$ per tCO2
Low-Bioenergy,No-LCP,BECCS,2075,211.72907057257325,2010$ per tCO2
Low-Bioenergy,No-LCP,BECCS,2080,231.48872476398742,2010$ per tCO2
Low-Bioenergy,No-LCP,BECCS,2085,254.96262978320874,2010$ per tCO2
Low-Bioenergy,No-LCP,BECCS,2090,284.5541509720138,2010$ per tCO2
Low-Bioenergy,No-LCP,BECCS,2095,321.60594311881385,2010$ per tCO2
Low-Bioenergy,No-LCP,BECCS,2100,312.7510981234217,2010$ per tCO2
Low-Bioenergy,10%-LCP,BECCS,2025,52.732031334324255,2010$ per tCO2
Low-Bioenergy,10%-LCP,BECCS,2030,76.18480789092813,2010$ per tCO2
Low-Bioenergy,10%-LCP,BECCS,2035,94.63886713349042,2010$ per tCO2
Low-Bioenergy,10%-LCP,BECCS,2040,96.19678220283016,2010$ per tCO2
Low-Bioenergy,10%-LCP,BECCS,2045,95.2224020064534,2010$ per tCO2
Low-Bioenergy,10%-LCP,BECCS,2050,100.81225586821031,2010$ per tCO2
Low-Bioenergy,10%-LCP,BECCS,2055,118.27947407973815,2010$ per tCO2
Low-Bioenergy,10%-LCP,BECCS,2060,142.07632855446286,2010$ per tCO2
Low-Bioenergy,10%-LCP,BECCS,2065,161.41123829776552,2010$ per tCO2
Low-Bioenergy,10%-LCP,BECCS,2070,177.79308404801898,2010$ per tCO2
Low-Bioenergy,10%-LCP,BECCS,2075,192.3234305596478,2010$ per tCO2
Low-Bioenergy,10%-LCP,BECCS,2080,211.3726409862103,2010$ per tCO2
Low-Bioenergy,10%-LCP,BECCS,2085,232.40340525180176,2010$ per tCO2
Low-Bioenergy,10%-LCP,BECCS,2090,259.2030767290334,2010$ per tCO2
Low-Bioenergy,10%-LCP,BECCS,2095,292.0130919378663,2010$ per tCO2
Low-Bioenergy,10%-LCP,BECCS,2100,328.32718698751927,2010$ per tCO2
Low-Bioenergy,100%-LCP,BECCS,2025,45.39092161093965,2010$ per tCO2
Low-Bioenergy,100%-LCP,BECCS,2030,67.74650072432624,2010$ per tCO2
Low-Bioenergy,100%-LCP,BECCS,2035,84.8141585177913,2010$ per tCO2
Low-Bioenergy,100%-LCP,BECCS,2040,86.5918827490097,2010$ per tCO2
Low-Bioenergy,100%-LCP,BECCS,2045,86.34497527685963,2010$ per tCO2
Low-Bioenergy,100%-LCP,BECCS,2050,91.34462486231199,2010$ per tCO2
Low-Bioenergy,100%-LCP,BECCS,2055,108.49612494385511,2010$ per tCO2
Low-Bioenergy,100%-LCP,BECCS,2060,131.84792786885322,2010$ per tCO2
Low-Bioenergy,100%-LCP,BECCS,2065,153.33312113346588,2010$ per tCO2
Low-Bioenergy,100%-LCP,BECCS,2070,174.18201072352758,2010$ per tCO2
Low-Bioenergy,100%-LCP,BECCS,2075,189.56002485307113,2010$ per tCO2
Low-Bioenergy,100%-LCP,BECCS,2080,205.28679160387446,2010$ per tCO2
Low-Bioenergy,100%-LCP,BECCS,2085,225.6416219996193,2010$ per tCO2
Low-Bioenergy,100%-LCP,BECCS,2090,251.96300171360906,2010$ per tCO2
Low-Bioenergy,100%-LCP,BECCS,2095,285.09475157325966,2010$ per tCO2
Low-Bioenergy,100%-LCP,BECCS,2100,325.0937258301636,2010$ per tCO2
Low-Bioenergy,50%-LCP,BECCS,2025,47.71908538646384,2010$ per tCO2
Low-Bioenergy,50%-LCP,BECCS,2030,68.70875243633142,2010$ per tCO2
Low-Bioenergy,50%-LCP,BECCS,2035,86.09617636353128,2010$ per tCO2
Low-Bioenergy,50%-LCP,BECCS,2040,87.83100856771516,2010$ per tCO2
Low-Bioenergy,50%-LCP,BECCS,2045,87.400239224741,2010$ per tCO2
Low-Bioenergy,50%-LCP,BECCS,2050,92.44313293953616,2010$ per tCO2
Low-Bioenergy,50%-LCP,BECCS,2055,109.58623237573885,2010$ per tCO2
Low-Bioenergy,50%-LCP,BECCS,2060,132.60387891602764,2010$ per tCO2
Low-Bioenergy,50%-LCP,BECCS,2065,153.2786841970866,2010$ per tCO2
Low-Bioenergy,50%-LCP,BECCS,2070,172.86516877631263,2010$ per tCO2
Low-Bioenergy,50%-LCP,BECCS,2075,186.90913668682816,2010$ per tCO2
Low-Bioenergy,50%-LCP,BECCS,2080,200.86644878617815,2010$ per tCO2
Low-Bioenergy,50%-LCP,BECCS,2085,218.45101670858145,2010$ per tCO2
Low-Bioenergy,50%-LCP,BECCS,2090,245.84563711210885,2010$ per tCO2
Low-Bioenergy,50%-LCP,BECCS,2095,279.5846471752725,2010$ per tCO2
Low-Bioenergy,50%-LCP,BECCS,2100,316.54628464601655,2010$ per tCO2
2C Main,No-LCP,BECCS,2025,43.372573468045736,2010$ per tCO2
2C Main,No-LCP,BECCS,2030,79.20631482104227,2010$ per tCO2
2C Main,No-LCP,BECCS,2035,111.09100630494366,2010$ per tCO2
2C Main,No-LCP,BECCS,2040,128.78524681451267,2010$ per tCO2
2C Main,No-LCP,BECCS,2045,149.29740230604915,2010$ per tCO2
2C Main,No-LCP,BECCS,2050,173.0764539518559,2010$ per tCO2
2C Main,No-LCP,BECCS,2055,200.64290570766903,2010$ per tCO2
2C Main,No-LCP,BECCS,2060,232.60036025448505,2010$ per tCO2
2C Main,No-LCP,BECCS,2065,269.64750836688216,2010$ per tCO2
2C Main,No-LCP,BECCS,2070,312.5954928257611,2010$ per tCO2
2C Main,No-LCP,BECCS,2075,331.54361403655446,2010$ per tCO2
2C Main,No-LCP,BECCS,2080,326.34497489757945,2010$ per tCO2
2C Main,No-LCP,BECCS,2085,324.45664225830933,2010$ per tCO2
2C Main,No-LCP,BECCS,2090,325.1103606718809,2010$ per tCO2
2C Main,No-LCP,BECCS,2095,330.16804029724335,2010$ per tCO2
2C Main,No-LCP,BECCS,2100,341.72526757385896,2010$ per tCO2
1.5C,No-LCP,BECCS,2025,82.72829512200768,2010$ per tCO2
1.5C,No-LCP,BECCS,2030,151.0776167884951,2010$ per tCO2
1.5C,No-LCP,BECCS,2035,211.89389431084695,2010$ per tCO2
1.5C,No-LCP,BECCS,2040,245.64313928193627,2010$ per tCO2
1.5C,No-LCP,BECCS,2045,284.7677555258454,2010$ per tCO2
1.5C,No-LCP,BECCS,2050,276.05761404868315,2010$ per tCO2
1.5C,No-LCP,BECCS,2055,273.4348691286237,2010$ per tCO2
1.5C,No-LCP,BECCS,2060,279.4230201619004,2010$ per tCO2
1.5C,No-LCP,BECCS,2065,289.3602840385061,2010$ per tCO2
