pathway,model,scenario,year,CarbonBudget_CB_GtCO2,variable,unit
AIM/CGE 2.0.SSP1-26,AIM/CGE 2.0,SSP1-26,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.0.SSP4-26,AIM/CGE 2.0,SSP4-26,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.1.CD-LINKS_NDC2030i_1000,AIM/CGE 2.1,CD-LINKS_NDC2030i_1000,2025,"(500,825]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.1.CD-LINKS_NPi2020_1000,AIM/CGE 2.1,CD-LINKS_NPi2020_1000,2025,"(500,825]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.1.CO_Bridge,AIM/CGE 2.1,CO_Bridge,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.2.EN_INDCi2030_1000f,AIM/CGE 2.2,EN_INDCi2030_1000f,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.2.EN_INDCi2030_1200,AIM/CGE 2.2,EN_INDCi2030_1200,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.2.EN_INDCi2030_1200f,AIM/CGE 2.2,EN_INDCi2030_1200f,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.2.EN_INDCi2030_1400,AIM/CGE 2.2,EN_INDCi2030_1400,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.2.EN_INDCi2030_1400f,AIM/CGE 2.2,EN_INDCi2030_1400f,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.2.EN_INDCi2030_800f,AIM/CGE 2.2,EN_INDCi2030_800f,2025,"(500,825]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.2.EN_INDCi2030_900f,AIM/CGE 2.2,EN_INDCi2030_900f,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.2.EN_NPi2020_1000,AIM/CGE 2.2,EN_NPi2020_1000,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.2.EN_NPi2020_1000f,AIM/CGE 2.2,EN_NPi2020_1000f,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.2.EN_NPi2020_1200,AIM/CGE 2.2,EN_NPi2020_1200,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.2.EN_NPi2020_1200f,AIM/CGE 2.2,EN_NPi2020_1200f,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
