Policy_Scenario,LCP_scenario,year,unit,Electricity,Refining,Gas & Hydrogen,Final energy,BECCS: Residue & MSW,BECCS: Purpose-grown,LULUCF
2C Main,No-LCP,2100,GtCO2 per yr,314.76121799100264,65.0319001412304,30.075591171275153,1050.8037766582756,-181.5058594409135,-356.8089571687902,227.60521322565285
2C Main,10%-LCP,2100,GtCO2 per yr,327.7488031705977,68.36617584799029,30.977721093937465,1092.2966323091312,-170.80705979230135,-320.8053141557979,122.07996024110945
2C Main,50%-LCP,2100,GtCO2 per yr,347.4210250596451,74.77307722381022,32.65614882735639,1160.9216679941112,-153.8239532546034,-253.77581095061174,-58.15653389827384
2C Main,100%-LCP,2100,GtCO2 per yr,355.1144021529409,78.37464619725844,33.722780908331174,1194.481592692673,-145.43499538675243,-212.58509727084194,-153.4832806870886
A/R-Focused,10%-LCP,2100,GtCO2 per yr,330.64136208629225,68.81339300033628,30.960391424777406,1098.3680571894874,-169.27700620586776,-324.2953003242384,114.73739666299717
A/R-Focused,50%-LCP,2100,GtCO2 per yr,361.2635245691571,76.90984755906415,32.61068077832666,1187.4566258942334,-148.69278141631256,-263.0775490336737,-96.51614884108781
A/R-Focused,100%-LCP,2100,GtCO2 per yr,379.15720513381603,81.97673892386703,33.65498791351053,1238.0842628558974,-138.1294763509514,-225.38815463100678,-219.4793040288442
Low-Bioenergy,No-LCP,2100,GtCO2 per yr,249.93205435208847,59.60288788682851,31.352547620558365,913.9026347194425,-124.76398438016489,-108.19045668838564,128.18407884936912
Low-Bioenergy,10%-LCP,2100,GtCO2 per yr,276.1987817401541,66.64354439510467,33.851595896228524,1007.0424295470677,-125.23906951076242,-89.40744811745645,-19.03207493097736
Low-Bioenergy,50%-LCP,2100,GtCO2 per yr,303.8000127740002,74.53622758627291,36.008193843929064,1101.5012224799914,-126.20220509729879,-71.05546625647304,-168.60977014703758
Low-Bioenergy,100%-LCP,2100,GtCO2 per yr,314.76774215155916,77.75719208884922,36.76777200719455,1140.7224649808309,-125.25526421070214,-65.52015342601496,-232.86417701116395
1.5C,No-LCP,2100,GtCO2 per yr,214.11542625649903,49.3434386196861,24.424679361750897,751.5383486240947,-264.35862983882754,-490.4605534330254,214.31573981036848
1.5C,10%-LCP,2100,GtCO2 per yr,226.08633985514885,50.652412561805896,25.45942822740121,794.2524938362781,-253.61014667592482,-449.2938687142817,105.71763827016422
1.5C,50%-LCP,2100,GtCO2 per yr,242.33418553561103,52.981366621684586,27.183183863534982,853.088762030637,-235.8889752297056,-367.64264744591947,-71.86176403472247
1.5C,100%-LCP,2100,GtCO2 per yr,246.9205987946158,54.0383419165328,28.02096613938352,874.9915318186431,-225.60997196224127,-317.0250134144616,-164.44003631401998
