Policy_Scenario,LCP_scenario,year,unit,Cropland: NonEnergy,Cropland: Energy,Forest,Other natural,Pasture
2C Main,No-LCP,2050,Mha,21.485139059149674,415.2870255991819,-115.94009521969986,-94.87181530892008,-225.95971543906506
2C Main,No-LCP,Mean,Mha,39.55085083686036,475.58947798198284,-133.82417281496157,-113.59502482194607,-267.72094091932905
2C Main,No-LCP,2100,Mha,58.71127329265573,843.5250750310317,-243.08066713429992,-196.30565462362006,-462.85018984491745
2C Main,10%-LCP,2050,Mha,-13.616324322856599,389.2820759235012,-51.08247892339966,-69.00189194042014,-255.58075103434805
2C Main,10%-LCP,Mean,Mha,-6.292196871473177,434.4117184165701,-50.6689046837825,-78.88348625507325,-298.56709181247373
2C Main,10%-LCP,2100,Mha,-24.39396278014317,787.6746719869199,-113.27162580529966,-139.0218468932203,-510.9871632268733
2C Main,50%-LCP,2050,Mha,-82.1363524424329,301.612236264623,91.4526861477002,-10.661781972720291,-300.2668455319132
2C Main,50%-LCP,Mean,Mha,-92.41582560239944,354.44860899111774,97.97290544319769,-15.222747756527568,-344.7829757437758
2C Main,50%-LCP,2100,Mha,-164.8575686842887,670.1663197509383,101.72334993900017,-43.630595356820095,-563.4016955086222
2C Main,100%-LCP,2050,Mha,-129.8927092417033,255.02814830594525,177.87103107230018,25.330122743180027,-328.3375680388861
2C Main,100%-LCP,Mean,Mha,-141.52891219053137,302.3790158501961,181.41903570336524,16.362015972877384,-358.6311385708175
2C Main,100%-LCP,2100,Mha,-231.5891631572025,577.8720949220292,209.1726553114902,3.7882912617797047,-559.2447275062029
A/R-Focused,10%-LCP,2050,Mha,1.431776247714538,391.75541655937997,17.88777362590008,-123.83768303692023,-287.23716801267017
A/R-Focused,10%-LCP,Mean,Mha,11.93525272438868,444.1005379994435,35.5791791493755,-150.43717901192144,-341.1778366814932
A/R-Focused,10%-LCP,2100,Mha,9.213304477105567,813.8207049083495,23.641607225300277,-260.4420809576202,-586.2348382916132
A/R-Focused,50%-LCP,2050,Mha,-38.992488818447896,312.30118082248134,337.8915139906003,-192.69676403932021,-418.50391874009176
A/R-Focused,50%-LCP,Mean,Mha,-49.33111156426198,383.4872477389532,399.76798223419394,-236.90668706350164,-497.01732847969413
A/R-Focused,50%-LCP,2100,Mha,-119.0937895672597,762.8644733957905,584.6375426934001,-403.8986626151202,-824.5101256520899
A/R-Focused,100%-LCP,2050,Mha,-72.10456317302851,270.834270025789,569.0955866649999,-248.51267500892027,-519.3117429489553
A/R-Focused,100%-LCP,Mean,Mha,-89.20390982476611,344.2711055101179,648.2858203720107,-300.2841872999992,-603.0686479488745
A/R-Focused,100%-LCP,2100,Mha,-190.8122306634366,721.8301274411014,955.2005989829003,-507.1757298637201,-979.0418223998264
Low-Bioenergy,No-LCP,2050,Mha,102.67663015087578,142.84175621997704,-34.41857744969991,-73.62691970522019,-137.47210656914422
Low-Bioenergy,No-LCP,Mean,Mha,131.33375844272584,147.44065430980507,-37.75449602115787,-85.23761495318679,-155.78188712682908
Low-Bioenergy,No-LCP,2100,Mha,206.40266013783685,232.50823585516395,-60.45256495759975,-137.11160172562018,-241.34678580933036
Low-Bioenergy,10%-LCP,2050,Mha,43.7862436321692,137.19648290665737,42.93931969490018,-40.559440623220326,-183.36269887794072
Low-Bioenergy,10%-LCP,Mean,Mha,56.55704199012705,133.85730174782782,63.84435596262981,-39.2455194233177,-215.01324346761672
Low-Bioenergy,10%-LCP,2100,Mha,51.705741180781615,193.43785284355656,145.28345445549974,-37.6813749963203,-352.74651860607577
Low-Bioenergy,50%-LCP,2050,Mha,-53.930941781521256,124.82990009995348,169.76393167870015,15.82489555818006,-256.4870570572
Low-Bioenergy,50%-LCP,Mean,Mha,-47.844456150258544,117.0903093075962,192.74622671296197,16.46241203506748,-278.4543259230363
Low-Bioenergy,50%-LCP,2100,Mha,-87.42884238451802,168.71670139575053,303.18787499880045,31.676273973579782,-416.15199128250003
Low-Bioenergy,100%-LCP,2050,Mha,-112.05271151712179,115.80697888962227,242.64412536120028,41.14689503327986,-287.54537178926677
Low-Bioenergy,100%-LCP,Mean,Mha,-105.88083405169056,109.90035907154058,256.4841826326973,42.87076302592183,-303.37446093436165
Low-Bioenergy,100%-LCP,2100,Mha,-146.41138990577622,162.49042459088292,354.77283151519043,61.022670757979995,-431.875425159856
1.5C,No-LCP,2050,Mha,-6.438223428329252,562.5671330378901,-161.97233591159966,-108.96147827962,-285.19581071728504
1.5C,No-LCP,Mean,Mha,35.71625505744944,518.9256590459512,-150.16350701238872,-117.9501764397201,-286.5279914602888
1.5C,No-LCP,2100,Mha,65.19734551846818,767.0372116724001,-214.3269753819999,-185.7848146445201,-432.122786659772
1.5C,10%-LCP,2050,Mha,-67.29167786408857,524.7409812372138,-56.325080313500166,-66.74190002312025,-334.38304208219154
1.5C,10%-LCP,Mean,Mha,-21.92446386779804,478.9126412488788,-50.914245243733234,-76.82994275766102,-329.24386242579516
1.5C,10%-LCP,2100,Mha,-23.499632901268228,715.6882149865825,-80.4390468588,-125.58023919542006,-486.1695379272384
1.5C,50%-LCP,2050,Mha,-160.40320570160395,426.4327714354728,117.74694236920016,5.2840600469796755,-389.0599310528515
1.5C,50%-LCP,Mean,Mha,-124.08776309887327,397.5798025126251,118.48681004325083,-6.496042699420185,-385.4828249631473
1.5C,50%-LCP,2100,Mha,-147.47044195361207,607.8434573328872,123.59771029360013,-36.419110917420085,-547.5507835897258
1.5C,100%-LCP,2050,Mha,-218.47778714163144,376.87117855457853,209.55296066450012,19.112147011479692,-387.0582750580297
1.5C,100%-LCP,Mean,Mha,-178.73530125152652,344.4163351834068,207.18518548150774,24.770027692147725,-397.636012791877
1.5C,100%-LCP,2100,Mha,-201.78553446983392,525.4446672330679,221.96930038876997,4.979062726079746,-550.6066583676345
