Policy_Scenario,LCP_scenario,Land_Mha,CDR_GtCO2PerYr,efficiency
Low-Bioenergy,No-LCP,109.68615828864719,-1.2934612619652026,-11.792383671250152
Low-Bioenergy,10%-LCP,197.70165771045762,-2.884920895792546,-14.592294921561223
Low-Bioenergy,100%-LCP,366.3845417042379,-5.230118452442976,-14.274943009645211
Low-Bioenergy,50%-LCP,309.8365360205582,-4.516881993837153,-14.578274246964373
2C Main,No-LCP,341.76530516702127,-3.835921029432726,-11.223845637456105
1.5C,No-LCP,368.7621520335625,-6.672882018043017,-18.09535490897041
1.5C,10%-LCP,427.99839600514554,-7.3726713224696585,-17.225932132654584
A/R-Focused,10%-LCP,479.67971714881895,-4.676974195890234,-9.750202121719521
2C Main,10%-LCP,383.7428137327876,-4.5621285642838245,-11.888505532928573
1.5C,100%-LCP,551.6015206649145,-8.729321255441024,-15.825411875076918
A/R-Focused,100%-LCP,992.5569258821286,-7.197493024824721,-7.251466225403642
2C Main,100%-LCP,483.7980515535613,-6.314856461045469,-13.052670304825217
1.5C,50%-LCP,516.066612555876,-8.338189959387007,-16.1571970682064
A/R-Focused,50%-LCP,783.2552299731472,-6.27514171964289,-8.01161802629524
2C Main,50%-LCP,452.42151443431544,-5.750077754364062,-12.709558610522011
