Policy_Scenario,LCP_scenario,Land CDR efficiency,Point,Cum_Land_Mha,Cum_CDR_GtCO2PerYr
Low-Bioenergy,No-LCP,BECCS: Waste & Residue,1,0,0
Low-Bioenergy,10%-LCP,BECCS: Waste & Residue,1,0,0
Low-Bioenergy,100%-LCP,BECCS: Waste & Residue,1,0,0
Low-Bioenergy,50%-LCP,BECCS: Waste & Residue,1,0,0
2C Main,No-LCP,BECCS: Waste & Residue,1,0,0
1.5C,No-LCP,BECCS: Waste & Residue,1,0,0
1.5C,10%-LCP,BECCS: Waste & Residue,1,0,0
A/R-Focused,10%-LCP,BECCS: Waste & Residue,1,0,0
2C Main,10%-LCP,BECCS: Waste & Residue,1,0,0
1.5C,100%-LCP,BECCS: Waste & Residue,1,0,0
A/R-Focused,100%-LCP,BECCS: Waste & Residue,1,0,0
2C Main,100%-LCP,BECCS: Waste & Residue,1,0,0
1.5C,50%-LCP,BECCS: Waste & Residue,1,0,0
A/R-Focused,50%-LCP,BECCS: Waste & Residue,1,0,0
2C Main,50%-LCP,BECCS: Waste & Residue,1,0,0
Low-Bioenergy,No-LCP,BECCS: Waste & Residue,2,0,-1.5402961034588258
Low-Bioenergy,10%-LCP,BECCS: Waste & Residue,2,0,-1.5461613519847213
Low-Bioenergy,100%-LCP,BECCS: Waste & Residue,2,0,-1.5463612865518783
Low-Bioenergy,50%-LCP,BECCS: Waste & Residue,2,0,-1.5580519147814664
2C Main,No-LCP,BECCS: Waste & Residue,2,0,-2.2408130795174506
1.5C,No-LCP,BECCS: Waste & Residue,2,0,-3.2636867881336733
1.5C,10%-LCP,BECCS: Waste & Residue,2,0,-3.130989465134874
A/R-Focused,10%-LCP,BECCS: Waste & Residue,2,0,-2.089839582788491
2C Main,10%-LCP,BECCS: Waste & Residue,2,0,-2.1087291332382883
1.5C,100%-LCP,BECCS: Waste & Residue,2,0,-2.785308295830139
A/R-Focused,100%-LCP,BECCS: Waste & Residue,2,0,-1.7053021771722394
2C Main,100%-LCP,BECCS: Waste & Residue,2,0,-1.79549377020682
1.5C,50%-LCP,BECCS: Waste & Residue,2,0,-2.9122095707371063
A/R-Focused,50%-LCP,BECCS: Waste & Residue,2,0,-1.8357133508186736
2C Main,50%-LCP,BECCS: Waste & Residue,2,0,-1.8990611512914
Low-Bioenergy,No-LCP,BE-NoCCS: Land (NoCCS),2,0,-1.5402961034588258
Low-Bioenergy,10%-LCP,BE-NoCCS: Land (NoCCS),2,0,-1.5461613519847213
Low-Bioenergy,100%-LCP,BE-NoCCS: Land (NoCCS),2,0,-1.5463612865518783
Low-Bioenergy,50%-LCP,BE-NoCCS: Land (NoCCS),2,0,-1.5580519147814664
2C Main,No-LCP,BE-NoCCS: Land (NoCCS),2,0,-2.2408130795174506
1.5C,No-LCP,BE-NoCCS: Land (NoCCS),2,0,-3.2636867881336733
1.5C,10%-LCP,BE-NoCCS: Land (NoCCS),2,0,-3.130989465134874
A/R-Focused,10%-LCP,BE-NoCCS: Land (NoCCS),2,0,-2.089839582788491
2C Main,10%-LCP,BE-NoCCS: Land (NoCCS),2,0,-2.1087291332382883
1.5C,100%-LCP,BE-NoCCS: Land (NoCCS),2,0,-2.785308295830139
A/R-Focused,100%-LCP,BE-NoCCS: Land (NoCCS),2,0,-1.7053021771722394
2C Main,100%-LCP,BE-NoCCS: Land (NoCCS),2,0,-1.79549377020682
1.5C,50%-LCP,BE-NoCCS: Land (NoCCS),2,0,-2.9122095707371063
A/R-Focused,50%-LCP,BE-NoCCS: Land (NoCCS),2,0,-1.8357133508186736
2C Main,50%-LCP,BE-NoCCS: Land (NoCCS),2,0,-1.8990611512914
Low-Bioenergy,No-LCP,BE-NoCCS: Land (NoCCS),3,33.17913621637227,-1.5402961034588258
Low-Bioenergy,10%-LCP,BE-NoCCS: Land (NoCCS),3,37.403978958325766,-1.5461613519847213
Low-Bioenergy,100%-LCP,BE-NoCCS: Land (NoCCS),3,37.128580984760106,-1.5463612865518783
Low-Bioenergy,50%-LCP,BE-NoCCS: Land (NoCCS),3,38.5374454124149,-1.5580519147814664
2C Main,No-LCP,BE-NoCCS: Land (NoCCS),3,94.48300318708249,-2.2408130795174506
1.5C,No-LCP,BE-NoCCS: Land (NoCCS),3,47.98240445784256,-3.2636867881336733
1.5C,10%-LCP,BE-NoCCS: Land (NoCCS),3,50.34109772048464,-3.130989465134874
A/R-Focused,10%-LCP,BE-NoCCS: Land (NoCCS),3,97.15224625938617,-2.089839582788491
2C Main,10%-LCP,BE-NoCCS: Land (NoCCS),3,93.9774790324418,-2.1087291332382883
1.5C,100%-LCP,BE-NoCCS: Land (NoCCS),3,44.10548673477524,-2.785308295830139
A/R-Focused,100%-LCP,BE-NoCCS: Land (NoCCS),3,97.42432931975088,-1.7053021771722394
2C Main,100%-LCP,BE-NoCCS: Land (NoCCS),3,79.42648326481944,-1.79549377020682
1.5C,50%-LCP,BE-NoCCS: Land (NoCCS),3,48.64242663930105,-2.9122095707371063
A/R-Focused,50%-LCP,BE-NoCCS: Land (NoCCS),3,99.02332847571648,-1.8357133508186736
2C Main,50%-LCP,BE-NoCCS: Land (NoCCS),3,87.41965955652336,-1.8990611512914
Low-Bioenergy,No-LCP,BECCS vs. Land (CCS),3,33.17913621637227,-1.5402961034588258
Low-Bioenergy,10%-LCP,BECCS vs. Land (CCS),3,37.403978958325766,-1.5461613519847213
Low-Bioenergy,100%-LCP,BECCS vs. Land (CCS),3,37.128580984760106,-1.5463612865518783
Low-Bioenergy,50%-LCP,BECCS vs. Land (CCS),3,38.5374454124149,-1.5580519147814664
2C Main,No-LCP,BECCS vs. Land (CCS),3,94.48300318708249,-2.2408130795174506
1.5C,No-LCP,BECCS vs. Land (CCS),3,47.98240445784256,-3.2636867881336733
1.5C,10%-LCP,BECCS vs. Land (CCS),3,50.34109772048464,-3.130989465134874
A/R-Focused,10%-LCP,BECCS vs. Land (CCS),3,97.15224625938617,-2.089839582788491
2C Main,10%-LCP,BECCS vs. Land (CCS),3,93.9774790324418,-2.1087291332382883
1.5C,100%-LCP,BECCS vs. Land (CCS),3,44.10548673477524,-2.785308295830139
A/R-Focused,100%-LCP,BECCS vs. Land (CCS),3,97.42432931975088,-1.7053021771722394
2C Main,100%-LCP,BECCS vs. Land (CCS),3,79.42648326481944,-1.79549377020682
1.5C,50%-LCP,BECCS vs. Land (CCS),3,48.64242663930105,-2.9122095707371063
A/R-Focused,50%-LCP,BECCS vs. Land (CCS),3,99.02332847571648,-1.8357133508186736
2C Main,50%-LCP,BECCS vs. Land (CCS),3,87.41965955652336,-1.8990611512914
Low-Bioenergy,No-LCP,BECCS vs. Land (CCS),4,147.44065430980507,-2.8759807539327227
Low-Bioenergy,10%-LCP,BECCS vs. Land (CCS),4,133.85730174782782,-2.6499570077557886
Low-Bioenergy,100%-LCP,BECCS vs. Land (CCS),4,109.90035907154058,-2.3552520695891
Low-Bioenergy,50%-LCP,BECCS vs. Land (CCS),4,117.0903093075962,-2.435279893256442
2C Main,No-LCP,BECCS vs. Land (CCS),4,475.58947798198284,-6.645861933453132
1.5C,No-LCP,BECCS vs. Land (CCS),4,518.9256590459512,-9.318755349035222
1.5C,10%-LCP,BECCS vs. Land (CCS),4,478.9126412488788,-8.677827350496376
A/R-Focused,10%-LCP,BECCS vs. Land (CCS),4,444.1005379994435,-6.093485265803779
2C Main,10%-LCP,BECCS vs. Land (CCS),4,434.4117184165701,-6.069288567260484
1.5C,100%-LCP,BECCS vs. Land (CCS),4,344.41633518340683,-6.699197350329666
A/R-Focused,100%-LCP,BECCS vs. Land (CCS),4,344.27110551011793,-4.487871987431582
2C Main,100%-LCP,BECCS vs. Land (CCS),4,302.3790158501961,-4.420001143920919
1.5C,50%-LCP,BECCS vs. Land (CCS),4,397.5798025126251,-7.451007687353396
A/R-Focused,50%-LCP,BECCS vs. Land (CCS),4,383.4872477389532,-5.08358432654304
2C Main,50%-LCP,BECCS vs. Land (CCS),4,354.4486089911178,-5.032095854385372
Low-Bioenergy,No-LCP,LULUCF vs. Forest,4,147.44065430980507,-2.8759807539327227
Low-Bioenergy,10%-LCP,LULUCF vs. Forest,4,133.85730174782782,-2.6499570077557886
Low-Bioenergy,100%-LCP,LULUCF vs. Forest,4,109.90035907154058,-2.3552520695891
Low-Bioenergy,50%-LCP,LULUCF vs. Forest,4,117.0903093075962,-2.435279893256442
2C Main,No-LCP,LULUCF vs. Forest,4,475.58947798198284,-6.645861933453132
1.5C,No-LCP,LULUCF vs. Forest,4,518.9256590459512,-9.318755349035222
1.5C,10%-LCP,LULUCF vs. Forest,4,478.9126412488788,-8.677827350496376
A/R-Focused,10%-LCP,LULUCF vs. Forest,4,444.1005379994435,-6.093485265803779
2C Main,10%-LCP,LULUCF vs. Forest,4,434.4117184165701,-6.069288567260484
1.5C,100%-LCP,LULUCF vs. Forest,4,344.41633518340683,-6.699197350329666
A/R-Focused,100%-LCP,LULUCF vs. Forest,4,344.27110551011793,-4.487871987431582
2C Main,100%-LCP,LULUCF vs. Forest,4,302.3790158501961,-4.420001143920919
1.5C,50%-LCP,LULUCF vs. Forest,4,397.5798025126251,-7.451007687353396
A/R-Focused,50%-LCP,LULUCF vs. Forest,4,383.4872477389532,-5.08358432654304
2C Main,50%-LCP,LULUCF vs. Forest,4,354.4486089911178,-5.032095854385372
Low-Bioenergy,No-LCP,LULUCF vs. Forest,5,109.68615828864719,-1.2934612619652028
Low-Bioenergy,10%-LCP,LULUCF vs. Forest,5,197.70165771045765,-2.884920895792546
Low-Bioenergy,100%-LCP,LULUCF vs. Forest,5,366.3845417042379,-5.2301184524429765
Low-Bioenergy,50%-LCP,LULUCF vs. Forest,5,309.8365360205582,-4.516881993837154
2C Main,No-LCP,LULUCF vs. Forest,5,341.76530516702127,-3.8359210294327264
1.5C,No-LCP,LULUCF vs. Forest,5,368.7621520335625,-6.672882018043017
1.5C,10%-LCP,LULUCF vs. Forest,5,427.99839600514554,-7.372671322469658
A/R-Focused,10%-LCP,LULUCF vs. Forest,5,479.679717148819,-4.676974195890234
2C Main,10%-LCP,LULUCF vs. Forest,5,383.7428137327876,-4.5621285642838245
