Policy_Scenario,LCP_scenario,Land CDR efficiency,Point,Cum_Land_Mha,Cum_CDR_GtCO2PerYr
Low-Bioenergy,No-LCP,Land-based BECCS,2,0,-1.5402961034588258
Low-Bioenergy,10%-LCP,Land-based BECCS,2,0,-1.5461613519847213
Low-Bioenergy,100%-LCP,Land-based BECCS,2,0,-1.546361286551878
Low-Bioenergy,50%-LCP,Land-based BECCS,2,0,-1.5580519147814664
2C Main,No-LCP,Land-based BECCS,2,0,-2.2408130795174506
1.5C,No-LCP,Land-based BECCS,2,0,-3.2636867881336733
1.5C,10%-LCP,Land-based BECCS,2,0,-3.1309894651348746
A/R-Focused,10%-LCP,Land-based BECCS,2,0,-2.089839582788491
2C Main,10%-LCP,Land-based BECCS,2,0,-2.1087291332382883
1.5C,100%-LCP,Land-based BECCS,2,0,-2.785308295830139
A/R-Focused,100%-LCP,Land-based BECCS,2,0,-1.7053021771722394
2C Main,100%-LCP,Land-based BECCS,2,0,-1.7954937702068203
1.5C,50%-LCP,Land-based BECCS,2,0,-2.9122095707371063
A/R-Focused,50%-LCP,Land-based BECCS,2,0,-1.8357133508186736
2C Main,50%-LCP,Land-based BECCS,2,0,-1.8990611512914
Reference,Reference,Land-based BECCS,2,0,0
Low-Bioenergy,No-LCP,Land-based BECCS,3,147.44065430980507,-2.8759807539327227
Low-Bioenergy,10%-LCP,Land-based BECCS,3,133.85730174782782,-2.6499570077557886
Low-Bioenergy,100%-LCP,Land-based BECCS,3,109.90035907154058,-2.3552520695891
Low-Bioenergy,50%-LCP,Land-based BECCS,3,117.0903093075962,-2.435279893256442
Reference,Reference,Land-based BECCS,3,173.12838162267883,0
2C Main,No-LCP,Land-based BECCS,3,475.58947798198284,-6.645861933453132
1.5C,No-LCP,Land-based BECCS,3,518.9256590459512,-9.318755349035222
1.5C,10%-LCP,Land-based BECCS,3,478.9126412488788,-8.677827350496377
A/R-Focused,10%-LCP,Land-based BECCS,3,444.1005379994435,-6.093485265803779
2C Main,10%-LCP,Land-based BECCS,3,434.4117184165701,-6.069288567260484
1.5C,100%-LCP,Land-based BECCS,3,344.4163351834068,-6.699197350329666
A/R-Focused,100%-LCP,Land-based BECCS,3,344.2711055101179,-4.487871987431582
2C Main,100%-LCP,Land-based BECCS,3,302.3790158501961,-4.420001143920919
1.5C,50%-LCP,Land-based BECCS,3,397.5798025126251,-7.451007687353396
A/R-Focused,50%-LCP,Land-based BECCS,3,383.4872477389532,-5.083584326543041
2C Main,50%-LCP,Land-based BECCS,3,354.44860899111774,-5.032095854385372
Low-Bioenergy,No-LCP,LULUCF vs. A/R,NA,109.68615828864719,-1.2934612619652026
Low-Bioenergy,10%-LCP,LULUCF vs. A/R,NA,197.70165771045762,-2.884920895792546
Low-Bioenergy,100%-LCP,LULUCF vs. A/R,NA,366.3845417042379,-5.230118452442976
Low-Bioenergy,50%-LCP,LULUCF vs. A/R,NA,309.8365360205582,-4.516881993837153
Reference,Reference,LULUCF vs. A/R,NA,137.33089015441502,1.3659938397802052
2C Main,No-LCP,LULUCF vs. A/R,NA,341.76530516702127,-3.835921029432726
1.5C,No-LCP,LULUCF vs. A/R,NA,368.7621520335625,-6.672882018043017
1.5C,10%-LCP,LULUCF vs. A/R,NA,427.99839600514554,-7.3726713224696585
A/R-Focused,10%-LCP,LULUCF vs. A/R,NA,479.67971714881895,-4.676974195890234
2C Main,10%-LCP,LULUCF vs. A/R,NA,383.7428137327876,-4.5621285642838245
1.5C,100%-LCP,LULUCF vs. A/R,NA,551.6015206649145,-8.729321255441024
A/R-Focused,100%-LCP,LULUCF vs. A/R,NA,992.5569258821286,-7.197493024824721
2C Main,100%-LCP,LULUCF vs. A/R,NA,483.7980515535613,-6.314856461045469
1.5C,50%-LCP,LULUCF vs. A/R,NA,516.066612555876,-8.338189959387007
A/R-Focused,50%-LCP,LULUCF vs. A/R,NA,783.2552299731472,-6.27514171964289
2C Main,50%-LCP,LULUCF vs. A/R,NA,452.42151443431544,-5.750077754364062
