year,Var,EM_CO2_2100_cut,sd0,sd25,sd05,sd75,sd100,mean,sd,obs
2100,Total Carbon,"(175,500]",175.13825431249998,270.7031415362903,364.4919916,457.4153007774231,497.0158544075808,358.8082789147398,97.11104847345474,110
2100,Total Carbon,"(500,825]",505.89886244353255,569.208357740625,658.33628685,733.842828675,823.3798080785962,656.8889795647374,86.51333201942188,215
2100,Total Carbon,"(825,1150]",826.1286611829049,909.2593307631938,955.6128064218865,976.2185592829941,1148.4248505886146,956.9427175455359,78.00276912147348,192
2100,Total Carbon,"(1150,1475]",1150.4865193211272,1170.095752575,1233.59222746875,1356.3105808383168,1470.505891577925,1264.1844602785052,89.47273767178223,87
2100,FFI (excl. BECCS),"(175,500]",528.665435,797.7975096357013,921.2426228926556,1078.0039540337384,1434.8606107932046,938.1337327118165,193.85967082686085,110
2100,FFI (excl. BECCS),"(500,825]",578.1624618999999,1005.9657986243719,1114.8023289067764,1267.1411566838833,1760.4459320161473,1132.4222872646656,182.7229240262791,215
2100,FFI (excl. BECCS),"(825,1150]",835.850352849636,1254.0250794975057,1366.12545245593,1489.7424522361634,2007.9868216060074,1374.564373145591,193.48063225211578,192
2100,FFI (excl. BECCS),"(1150,1475]",1143.79427735,1505.464964998464,1651.228942750729,1739.4803492004498,1998.4509724947252,1636.0219996452865,170.00077010374625,87
2100,LULUCF & BECCS,"(175,500]",-1190.5953528211696,-719.7563315044771,-533.6758541664642,-460.66423249996086,-166.4537466,-579.3254537970768,212.17183824653856,110
2100,LULUCF & BECCS,"(500,825]",-958.2838780695255,-608.5850048400289,-455.9951352383,-376.8736968538426,127.6673214,-475.5333076999282,175.0277027062183,215
2100,LULUCF & BECCS,"(825,1150]",-1115.8974199237528,-528.2278485573488,-419.79423185433444,-311.27904804860026,295.9816868040385,-417.62165560005496,175.29635752035477,192
2100,LULUCF & BECCS,"(1150,1475]",-752.3784381929675,-465.7255305242001,-396.3282793875697,-295.24524232443355,148.55825844999998,-371.83753936678124,156.07701745403787,87
2100,LULUCF,"(175,500]",-688.0088136093088,-221.56479106350298,-149.2657951248192,-61.052117195,182.338605,-148.2813038009242,120.15561190392636,110
2100,LULUCF,"(500,825]",-369.8142366,-195.32605713110297,-120.93379336058341,-6.491529625,171.2735308,-103.07976577231953,106.41915377751971,215
2100,LULUCF,"(825,1150]",-347.47948793500524,-177.8375746154785,-107.43444380461554,4.657327,522.3706500000001,-79.70202869217854,126.19260895457137,192
2100,LULUCF,"(1150,1475]",-277.75226947021486,-148.52486158930668,-102.46683009180144,2.3573272499999987,296.0048034062861,-70.42411676945349,116.1218630556699,87
