"","term","element","M1_Model1","M1_Model2","M1_Model3","M1_Model4","M2_Model1","M2_Model2","M2_Model3","M2_Model4"
"1","log(-AllLand)","adjR2",0.664741236078473,NA,NA,NA,0.449822619455453,NA,NA,NA
"2","log(-BECCS)","adjR2",NA,0.0381807415691181,NA,0.776115474239159,NA,0.0381807415691181,NA,0.241757703526466
"3","log(-LULUCF)","adjR2",NA,NA,0.692384294498219,0.776115474239159,NA,NA,-0.0168015457363433,0.241757703526466
"4","log(-AllLand)","estimate",0.239841012960442,NA,NA,NA,0.544848976487389,NA,NA,NA
"5","log(-BECCS)","estimate",NA,0.185832845587896,NA,0.149245830766344,NA,0.185832845587896,NA,0.285970961437032
"6","log(-LULUCF)","estimate",NA,NA,0.124701271456668,0.120270023725214,NA,NA,0.225262496145593,0.383032873613296
"7","log(-AllLand)","p.value",0.00453663474480988,NA,NA,NA,0.0286670297755744,NA,NA,NA
"8","log(-BECCS)","p.value",NA,0.288739336317893,NA,0.105862512921994,NA,0.288739336317893,NA,0.115317898655472
"9","log(-LULUCF)","p.value",NA,NA,0.00331563399529079,0.00269355854240566,NA,NA,0.382568150086767,0.140644342642302
"10","log(-AllLand)","statistic",4.10635667859392,NA,NA,NA,2.74604533869271,NA,NA,NA
"11","log(-BECCS)","statistic",NA,1.14785496905244,NA,1.90209067758494,NA,1.14785496905244,NA,1.84037694968359
"12","log(-LULUCF)","statistic",NA,NA,4.35964155601945,4.90635857080196,NA,NA,0.931562479424024,1.69687877457085
"13","log(-AllLand)","std.error",0.0584072528844638,NA,NA,NA,0.198412228964425,NA,NA,NA
"14","log(-BECCS)","std.error",NA,0.161895753904608,NA,0.0784640987546607,NA,0.161895753904608,NA,0.155387167550756
"15","log(-LULUCF)","std.error",NA,NA,0.0286035606033919,0.0245130929567497,NA,NA,0.241811473863643,0.225727894858116
