"","year","LandSupply","LCT","Mha","GtCO2","CDR","sector","method","LandEndYear"
"1",2050,"2C Main","50%-LCP",217.087541657919,-1.15987171342211,-5.34287552645377,"BothLandbased","Method2",383.614212698023
"2",2050,"2C Main","100%-LCP",286.248192981297,-2.87040035062207,-10.0276627800743,"BothLandbased","Method2",459.440374379846
"3",2050,"A/R-Focused","50%-LCP",261.425152627407,-1.0261542912396,-3.9252316807561,"BothLandbased","Method2",458.707003032181
"4",2050,"A/R-Focused","100%-LCP",365.849398070769,-2.67290643930844,-7.30602934815107,"BothLandbased","Method2",592.628253940289
"5",2050,"Low-Bioenergy","50%-LCP",212.828029067382,-2.19138021615381,-10.2964831547635,"BothLandbased","Method2",311.629799595254
"6",2050,"Low-Bioenergy","100%-LCP",288.901354140384,-3.77443722470536,-13.0647958917883,"BothLandbased","Method2",400.809071542523
"7",2050,"1.5C","50%-LCP",319.057254120231,-2.84065225322373,-8.90326803901247,"BothLandbased","Method2",550.674846090073
"8",2050,"1.5C","100%-LCP",385.193911130009,-4.70345308431484,-12.2106111971416,"BothLandbased","Method2",606.747358488979
"9",2100,"2C Main","50%-LCP",437.198766677788,-3.85101660307266,-8.80838853306014,"BothLandbased","Method2",729.470146591538
"10",2100,"2C Main","100%-LCP",500.160067526439,-4.51936269083865,-9.03583269489973,"BothLandbased","Method2",792.04411375372
"11",2100,"A/R-Focused","50%-LCP",546.348542909646,-4.43942836882422,-8.12563413307831,"BothLandbased","Method2",944.814425732491
"12",2100,"A/R-Focused","100%-LCP",692.272738582129,-5.49219084765248,-7.93356511322582,"BothLandbased","Method2",1171.0660688187
"13",2100,"Low-Bioenergy","50%-LCP",326.298948055626,-2.95883007905569,-9.06785049932579,"BothLandbased","Method2",504.791922626551
"14",2100,"Low-Bioenergy","100%-LCP",409.25530473016,-3.6837571658911,-9.0011225836644,"BothLandbased","Method2",579.496999122473
"15",2100,"1.5C","50%-LCP",509.570569856456,-5.4259803886499,-10.6481431809894,"BothLandbased","Method2",696.233128947488
"16",2100,"1.5C","100%-LCP",576.371548357062,-5.94401295961088,-10.3128146705961,"BothLandbased","Method2",753.604102606338
"17",2050,"2C Main","50%-LCP",130.838167716607,-0.312801489940577,-2.39075107363243,"Land-based BECCS","Method2",301.612236264623
"18",2050,"2C Main","50%-LCP",86.2493739413121,-0.84707022348153,-9.82117532885414,"LULUCF","Method2",82.0019764334002
"19",2050,"2C Main","100%-LCP",113.471670806791,-0.248778760040943,-2.19243057119111,"Land-based BECCS","Method2",255.028148305945
"20",2050,"2C Main","100%-LCP",172.776522174506,-2.62162159058113,-15.1734828180722,"LULUCF","Method2",204.4122260739
"21",2050,"A/R-Focused","50%-LCP",135.49628328513,-0.290635782457817,-2.14497235947219,"Land-based BECCS","Method2",312.301180822481
"22",2050,"A/R-Focused","50%-LCP",125.928869342277,-0.735518508781779,-5.84074575292682,"LULUCF","Method2",146.4058222097
"23",2050,"A/R-Focused","100%-LCP",120.75516620093,-0.220247285112617,-1.82391604468613,"Land-based BECCS","Method2",270.834270025789
"24",2050,"A/R-Focused","100%-LCP",245.094231869838,-2.45265915419582,-10.0070047976419,"LULUCF","Method2",321.7939839145
"25",2050,"Low-Bioenergy","50%-LCP",78.1027021740627,-0.183813320810449,-2.35348221884559,"Land-based BECCS","Method2",124.829900099953
"26",2050,"Low-Bioenergy","50%-LCP",134.725326893319,-2.00756689534336,-14.9011840730811,"LULUCF","Method2",186.7998994953
"27",2050,"Low-Bioenergy","100%-LCP",72.1172600963007,-0.153389901238549,-2.12695131558967,"Land-based BECCS","Method2",115.806978889622
"28",2050,"Low-Bioenergy","100%-LCP",216.784094044083,-3.62104732346681,-16.7034732849471,"LULUCF","Method2",285.002092652901
